 The classification results based on 
 the BP neural network are shown as following:
 The index for the linkers:
 1: GS15
 2: GS30
 3: PLP15
 4: PLPII15
 5: PLPII30
 6: PLrigid
 T_sc lk_i lk_j   TP   TN   FP   FN   SS   SP   PC   AC 
    1    1    2  1764 1860   40  136    0.92842   0.97895   0.97783   0.95368
    1    1    3   360 1789  111 1540    0.18947   0.94158   0.76433   0.56553
    1    1    4  1762  461 1439  138    0.92737   0.24263   0.55045   0.58500
    1    1    5  1753 1864   36  147    0.92263   0.98105   0.97988   0.95184
    1    1    6  1361 1814   86  539    0.71632   0.95474   0.94057   0.83553
    1    2    3  1785 1761  139  115    0.93947   0.92684   0.92775   0.93316
    1    2    4  1815 1782  118   85    0.95526   0.93789   0.93896   0.94658
    1    2    5  1381  221 1679  519    0.72684   0.11632   0.45131   0.42158
    1    2    6  1182 1311  589  718    0.62211   0.69000   0.66742   0.65605
    1    3    4  1455  610 1290  445    0.76579   0.32105   0.53005   0.54342
    1    3    5  1720 1772  128  180    0.90526   0.93263   0.93074   0.91895
    1    3    6  1570 1721  179  330    0.82632   0.90579   0.89766   0.86605
    1    4    5  1762 1818   82  138    0.92737   0.95684   0.95553   0.94211
    1    4    6  1595 1766  134  305    0.83947   0.92947   0.92250   0.88447
    1    5    6  1175 1492  408  725    0.61842   0.78526   0.74226   0.70184
